"SubjectID","Activity","mean.X","mean.Y","mean.Z","sd.x","sd.y","sd.z"
1,"LAYING",0.22159824394,-0.0405139534294,-0.11320355358,0.122957401949122,0.331177484007337,0.288552886794704
1,"SITTING",0.261237565425532,-0.00130828765170213,-0.104544182255319,0.0516968225656247,0.151866471015858,0.138360678594562
1,"STANDING",0.278917629056604,-0.0161375901037736,-0.110601817735849,0.0052741393229331,0.0363316416378927,0.0274481084909406
1,"WALKING",0.277330758736842,-0.0173838185273684,-0.111148103547368,0.067978132739783,0.0871784521583147,0.0620301284304813
1,"WALKING_DOWNSTAIRS",0.289188320408163,-0.00991850461020408,-0.107566190908163,0.0932064414062365,0.155150625438384,0.0844507786909177
1,"WALKING_UPSTAIRS",0.255461689622641,-0.0239531492643396,-0.0973020020943396,0.0535479656604657,0.100049786094941,0.0500333179018807
2,"LAYING",0.281373403958333,-0.0181587397583333,-0.107245610416667,0.0385646808805985,0.029959634459228,0.0209994294726935
2,"SITTING",0.27708735173913,-0.0156879937282609,-0.109218272456522,0.0324086421660716,0.0891489476079673,0.0740754031291257
2,"STANDING",0.277911472222222,-0.0184208270166667,-0.105908536055556,0.0157461115863264,0.0397962517709394,0.0740321338224154
2,"WALKING",0.276426586440678,-0.0185949199145763,-0.105500357966102,0.0526930914770698,0.0876065936139326,0.0434882428774878
2,"WALKING_DOWNSTAIRS",0.27761534806383,-0.0226614158361702,-0.116812942382979,0.126323626387262,0.164539199131836,0.207527025642952
2,"WALKING_UPSTAIRS",0.247164790395833,-0.0214121132045833,-0.152513899520833,0.0815509182224512,0.0784284125840391,0.18944945583691
3,"LAYING",0.275516852741935,-0.0189556785048387,-0.101300477506452,0.0172084446843359,0.0498852644268666,0.0526452582960393
3,"SITTING",0.257197599134615,-0.00350299841730769,-0.0983579203269231,0.04966373789186,0.213992191746784,0.22336355448176
3,"STANDING",0.280046513278689,-0.0143376555065574,-0.101621722633148,0.0365144461698713,0.0893730435452995,0.124276330263473
3,"WALKING",0.275567462068966,-0.0171767844203448,-0.112674859827586,0.081848000636302,0.0840809750709762,0.0433219181878926
3,"WALKING_DOWNSTAIRS",0.292423484693878,-0.0193554079328571,-0.116139842908163,0.158551678507532,0.189273504432402,0.100966837022211
3,"WALKING_UPSTAIRS",0.260819873067797,-0.0324109410555932,-0.110064863437288,0.0872302724546861,0.115851818506142,0.0652419989195194
4,"LAYING",0.263559214981481,-0.0150031841055556,-0.110688150314815,0.105115065374485,0.106389390803717,0.0498607914500948
4,"SITTING",0.27153827992,-0.007163065158,-0.10587459588,0.0242399233547163,0.179158779734263,0.121528975044388
4,"STANDING",0.280499745892857,-0.00948911098553571,-0.0961574905535714,0.0388450686286253,0.170174666987024,0.127706173825571
4,"WALKING",0.278582015166667,-0.0148399475341667,-0.11140306485,0.0452027040937335,0.103093269288627,0.0485701078378306
4,"WALKING_DOWNSTAIRS",0.279965329555556,-0.00980200850666667,-0.1067775246,0.165885167635715,0.149295451863569,0.0575302934244457
4,"WALKING_UPSTAIRS",0.270876696730769,-0.0319804295729615,-0.114219455519231,0.0751013575959392,0.0918730507423163,0.0544590037260259
5,"LAYING",0.278334325576923,-0.0183042123269231,-0.107937603673077,0.0637802383642259,0.0385196635842144,0.0347700252329703
5,"SITTING",0.273694139545455,-0.00990083527045455,-0.108540300265909,0.0179357328410064,0.160708660836117,0.0840665583758947
5,"STANDING",0.282544390892857,-0.00700418554517857,-0.102171095696429,0.0412656793820786,0.15863887443926,0.148863163868456
5,"WALKING",0.27784234625,-0.0172850317482679,-0.107741776464286,0.142228495741582,0.0926102061406928,0.0570937299424293
5,"WALKING_DOWNSTAIRS",0.29354392712766,-0.00850107533191489,-0.100319930659574,0.118160135360346,0.194142287992469,0.0674312378897514
5,"WALKING_UPSTAIRS",0.268459469914894,-0.0325269755153191,-0.107471453914894,0.0837541113158749,0.125203550760691,0.0741267203390357
6,"LAYING",0.248656520140351,-0.0102529170561404,-0.133119570368421,0.151948664730761,0.152057088604197,0.111735231644563
6,"SITTING",0.276778487454545,-0.0145911615290909,-0.110127728709091,0.0178855206894757,0.0871785258085262,0.0647735075134882
6,"STANDING",0.280346248596491,-0.0181236327175439,-0.112172831947368,0.021305696597399,0.0664296875345012,0.0711178378411802
6,"WALKING",0.283658868070175,-0.0168954189082456,-0.110303165877193,0.0659049131850276,0.109671992909463,0.0980529054392464
6,"WALKING_DOWNSTAIRS",0.277045258145833,-0.019536840063125,-0.107209356208333,0.0803490331684651,0.160444377243891,0.228567592818057
6,"WALKING_UPSTAIRS",0.268229355098039,-0.0272425385070588,-0.122082438784314,0.0501491085551946,0.0885171799758256,0.133399229340604
7,"LAYING",0.250176694038462,-0.0204411516884615,-0.101361036576923,0.10701975087485,0.125168803441703,0.0925581387278665
7,"SITTING",0.284674637291667,-0.01461097580375,-0.122464597625,0.0668746430432182,0.149536328357544,0.236102075162264
7,"STANDING",0.282723539433962,-0.0145740341037736,-0.0997778303207547,0.018051490433382,0.087994041503316,0.0901907238633754
7,"WALKING",0.275592961754386,-0.018653665345614,-0.110912234947368,0.0960557916987379,0.207177244955872,0.130959777744749
7,"WALKING_DOWNSTAIRS",0.28030708,-0.0166332372978723,-0.096938308587234,0.173790891837221,0.211689581089966,0.23677422012416
7,"WALKING_UPSTAIRS",0.248706923078431,-0.0275639005607843,-0.143769688803922,0.0804003935139821,0.0890619896255545,0.103392151301313
8,"LAYING",0.261254282907407,-0.0212281733881481,-0.102245365611111,0.103568123755782,0.13740572945088,0.160655385656192
8,"SITTING",0.267491472934783,-0.00672550621304348,-0.104461049130435,0.0371472710199245,0.187941332947404,0.123383409009364
8,"STANDING",0.279620986111111,-0.0148113067148148,-0.106114996837037,0.0260809572430625,0.111049829864765,0.195060448733663
8,"WALKING",0.27468631,-0.0186628865310417,-0.107252090833333,0.0893149606783518,0.104264547787224,0.250928988787316
8,"WALKING_DOWNSTAIRS",0.283484089210526,-0.0211058674973684,-0.107598135394737,0.0899753925981644,0.189054633137946,0.142750360184194
8,"WALKING_UPSTAIRS",0.258880152048781,-0.0282415136341463,-0.11512211995122,0.068574465465678,0.106654550473958,0.127588375929227
9,"LAYING",0.2591955368,-0.020526821662,-0.10754972144,0.0959625907596203,0.0645867478732624,0.0609921077206544
9,"SITTING",0.24832674354,-0.02701677698,-0.07537846886,0.0712931983249878,0.187378000096473,0.270407065437218
9,"STANDING",0.282310057333333,-0.0200454954022222,-0.0952747481333333,0.0280200319660112,0.0860123148709972,0.0918471848432771
9,"WALKING",0.278502842115385,-0.0180891971284423,-0.110820512307692,0.0910378594138694,0.0815625555496695,0.0635412137896866
9,"WALKING_DOWNSTAIRS",0.295923445,-0.0203994269075476,-0.0910278793952381,0.0955886754076755,0.182291479716266,0.295789938103268
9,"WALKING_UPSTAIRS",0.262436475714286,-0.0195101099975714,-0.125219003959184,0.104874933180813,0.0939556607543536,0.167609206940596
10,"LAYING",0.280230574137931,-0.024294484137931,-0.117168642362069,0.0645452536000763,0.119083059428967,0.112756608307461
10,"SITTING",0.270612056481481,-0.015042681852037,-0.104253238796296,0.0314080368784266,0.189386606833465,0.0627590626140653
10,"STANDING",0.276650300681818,-0.0155418603409091,-0.107964083931818,0.0267501690449861,0.0726562441081217,0.0734195355739015
10,"WALKING",0.278574076603774,-0.017022351190566,-0.109057512132075,0.103416442561991,0.158153823758574,0.058228747448358
10,"WALKING_DOWNSTAIRS",0.290401594315789,-0.0200050770710526,-0.110848597247368,0.0812286994494842,0.206431747934595,0.0768202532240256
10,"WALKING_UPSTAIRS",0.267121853404255,-0.0143854920340426,-0.118180420834043,0.096905811601093,0.110645488742851,0.167583463427796
11,"LAYING",0.280592970877193,-0.0176598052315789,-0.108786578070175,0.0256438481696069,0.0460200795175218,0.0432271041635904
11,"SITTING",0.276590197358491,-0.0149195616754717,-0.112840218339623,0.0178165874858951,0.143666539197246,0.0437471011862538
11,"STANDING",0.277715562765957,-0.0171990886595745,-0.108686630425532,0.00671878838103484,0.0410151536353958,0.00999135142705793
11,"WALKING",0.271821892881356,-0.0166475833623729,-0.106096304033898,0.0665232491945296,0.102599717235434,0.0427512031000157
11,"WALKING_DOWNSTAIRS",0.291605631956522,-0.0178097721219565,-0.111070149978261,0.100888733753125,0.118436696444656,0.0704232448978908
11,"WALKING_UPSTAIRS",0.263775859277778,-0.0303157822055556,-0.106797216481481,0.0518969022198972,0.0767762312946589,0.0550031700431883
12,"LAYING",0.260113433,-0.0175203917146667,-0.108160125666667,0.0831659321603789,0.072431883069568,0.0743213499227559
12,"SITTING",0.275007224901961,-0.0157892988523529,-0.106307228960784,0.015248811340868,0.0780084972522111,0.0510020511524781
12,"STANDING",0.277405834918033,-0.0169002543196721,-0.105526999754098,0.0228523344192704,0.0741002999305654,0.156546900667488
12,"WALKING",0.2771286656,-0.015560927606,-0.10316110632,0.0872759090918111,0.118638538843522,0.136502783264239
12,"WALKING_DOWNSTAIRS",0.281521097391304,-0.018084266865793,-0.10955593226087,0.135719870240496,0.309482810207429,0.106170377121605
12,"WALKING_UPSTAIRS",0.272970338653846,-0.0263574903403846,-0.107339730115385,0.0616218748455592,0.111007437596968,0.0678663756253643
13,"LAYING",0.276716360483871,-0.020440454366129,-0.104331864532258,0.0487887155536645,0.0549476466000748,0.0678865774917462
13,"SITTING",0.274328499591837,-0.00587732936326531,-0.0972465110836735,0.0235492397077351,0.146469475533272,0.183093564041013
13,"STANDING",0.277758431052632,-0.0167891993964912,-0.112124137754386,0.011509832224798,0.0582069118076442,0.0267494716642382
13,"WALKING",0.275883130350877,-0.0185660651947368,-0.111431456192982,0.0670630023459018,0.218882091564496,0.182514789312838
13,"WALKING_DOWNSTAIRS",0.294907553404255,-0.0143723839108511,-0.101993941531915,0.161069395804358,0.200574651565834,0.126393433637005
13,"WALKING_UPSTAIRS",0.258203939581818,-0.0277392253910909,-0.125767265890909,0.0750796507537126,0.245306608849791,0.162433101715615
14,"LAYING",0.233275439803922,-0.0113424652490196,-0.0868333315509804,0.187432403389542,0.154930527662831,0.235929979223855
14,"SITTING",0.279990577037037,-0.00870565463888889,-0.100401490425926,0.0412397701981645,0.147895047441531,0.130372534219129
14,"STANDING",0.280545613833333,-0.01520781344,-0.103817701790667,0.0287121414887071,0.0708640046710599,0.0919076690581503
14,"WALKING",0.271959598644068,-0.0217785380966102,-0.106756369135593,0.0623851540766179,0.0655585518463038,0.090753537940836
14,"WALKING_DOWNSTAIRS",0.293422115555556,-0.0200141413657778,-0.0928330165533333,0.0891600506737459,0.1804034962155,0.221584466475692
14,"WALKING_UPSTAIRS",0.26242106612963,-0.0204388180024074,-0.112279688983333,0.0653911688986228,0.126399541393051,0.137799051580628
15,"LAYING",0.2894756525,-0.0166296542054167,-0.118530240291667,0.0431142694120059,0.0612359237825282,0.122566646898039
15,"SITTING",0.27290337979661,-0.0117188472271186,-0.11366125320339,0.0214707024523866,0.191808818605896,0.104095637200069
15,"STANDING",0.278915803962264,-0.0183516360396226,-0.105910832679245,0.0151195602543064,0.0798823491359738,0.0740418526654115
15,"WALKING",0.273899207962963,-0.0170809740090741,-0.107621819518519,0.0897980100889306,0.126422435570247,0.0943655576769492
15,"WALKING_DOWNSTAIRS",0.280198851190476,-0.00563047804309524,-0.110526066428571,0.0975636897768871,0.138343081777009,0.0525546185554908
15,"WALKING_UPSTAIRS",0.270187595833333,-0.0287523860708333,-0.116952464895833,0.0627174721876826,0.0680584240376894,0.176274779184652
16,"LAYING",0.274227162571429,-0.0166103510562857,-0.107310493242857,0.0320595858561267,0.0676459451643533,0.059391131231109
16,"SITTING",0.280768574492754,-0.0102497939956522,-0.0891404038405797,0.0404374341548965,0.103400594361993,0.146720716520108
16,"STANDING",0.283497402948718,-0.0165999672935897,-0.103657729076923,0.0258005161100128,0.0609025696629507,0.0762283778277329
